amount,date,name,type
260,2019/12/5,云南城投,债券
56.29838142,2019/12/31,阳光城,增发
48.2095,2019/12/24,中南建设,配股
42.9,2019/12/12,华夏幸福,债权
41,2019/12/14,华发股份,债券
38.8,2019/12/25,中南建设,增发
35.625,2019/12/10,中南建设,配股
32.46,2019/12/7,金科地产,债权
30.953379,2019/12/18,中南建设,债券
28,2019/12/28,招商蛇口,增发
27.7,2019/12/18,大悦城,配股
26.3875,2019/12/28,中南建设,债权
25,2019/12/17,金融街,债券
19.23225,2019/12/19,金科股份,增发
16,2019/12/31,大悦城,配股
14.2,2019/12/7,阳光城,债权
13.43,2019/12/14,中南建设,债券
11,2019/12/31,阳光城,增发
10.894,2019/12/7,金科地产,配股
10.5,2019/12/5,大悦城,债权
10.5,2019/12/5,大悦城,债券
10,2019/12/4,阳光城,增发
9.2,2019/12/31,阳光城,配股
8.63,2019/12/3,中南建设,债权
8,2019/12/13,招商蛇口,债券
8,2019/12/21,阳光城,增发
7.2,2019/12/28,大名城,配股
7,2019/12/4,阳光城,债权
7,2019/12/26,泛海控股,债券
7,2019/12/31,阳光城,增发
6.12,2019/12/28,招商蛇口,配股
6,2019/12/3,大名城,债权
5.6,2019/12/7,阳光城,债券
5.4,2019/12/20,北辰实业,增发
5.25,2019/12/24,金融街,配股
5,2019/12/21,阳光城,债权
5,2019/12/26,中洲控股,债券
4.76,2019/12/24,首开股份,增发
4.63,2019/12/31,阳光城,配股
4.6,2019/12/7,宋都基业,债权
4.5,2019/12/3,滨江集团,债券
4.42,2019/12/21,阳光城,增发
4.42,2019/12/21,阳光城,债券
3.85,2019/12/24,新华联,增发
3.234,2019/12/21,阳光城,配股
3,2019/12/24,阳光城,债权
3,2019/12/14,滨江集团,债券
3,2019/12/28,天地源,增发
3,2019/12/31,阳光城,配股
2.7,2019/12/21,云南城投,债权
2.5,2019/12/25,美好置业,债券
2.3,2019/12/21,蓝光发展,增发
2.1,2019/12/21,云南城投,配股
2.04,2019/12/10,滨江房产,债权
2,2019/12/20,大悦城,债券
2,2019/12/20,宋都股份,增发
2,2019/12/18,阳光城,配股
2,2019/12/31,阳光城,债权
1.56,2019/12/28,招商蛇口,债券
1.5,2019/12/31,珠江实业,增发
1.42,2019/12/10,广宇集团,配股
1.2,2019/12/28,泛海控股,债权
1.0985,2019/12/3,荣安地产,债券
1.05,2019/12/11,中南建设,增发
1,2019/12/14,美好置业,配股
0.9,2019/12/11,香江控股,债权
0.88,2019/12/10,阳光城,债券
0.8,2019/12/31,阳光城,增发
0.75,2019/12/27,广宇集团,配股
0.54,2019/12/10,阳光城,债权
0.5,2019/12/31,美好置业,债券
0.33,2019/12/19,宋都股份,增发
0.3,2019/12/18,大悦城,配股
0.23218,2019/12/11,福星股份,债权
0.1,2019/12/27,首开股份,债券
